"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"동작구","2017-09-25 06:00","0.003","0.6","0.007","0.036","49","29",126.9392525,37.512402
"동작구","2017-09-24 17:00","0.005","0.5","0.076","0.012","80","53",126.9392525,37.512402
"동작구","2017-09-24 18:00","0.004","0.5","0.071","0.015","79","55",126.9392525,37.512402
"동작구","2017-09-24 14:00","0.004","0.5","0.074","0.012","76","48",126.9392525,37.512402
"동작구","2017-09-24 12:00","0.004","0.5","0.049","0.017","63","40",126.9392525,37.512402
"동작구","2017-09-25 09:00","0.003","0.6","0.008","0.044","51","28",126.9392525,37.512402
"동작구","2017-09-25 02:00","0.003","0.5","0.025","0.029","59","29",126.9392525,37.512402
"동작구","2017-09-25 08:00","0.003","0.6","0.006","0.045","50","27",126.9392525,37.512402
"동작구","2017-09-24 16:00","0.004","0.5","0.081","0.010","72","50",126.9392525,37.512402
"동작구","2017-09-24 23:00","0.003","0.4","0.043","0.019","44","28",126.9392525,37.512402
"동작구","2017-09-25 01:00","0.003","0.5","0.028","0.029","54","28",126.9392525,37.512402
"동작구","2017-09-24 20:00","0.003","0.6","0.062","0.018","75","54",126.9392525,37.512402
